payer_id,payer_name,lob,parent_org,market_states
PAY-001,Aetna,Commercial,CVS Health,"TX,FL,CA,NY,MI"
PAY-002,Aetna Medicare,MA,CVS Health,"TX,FL,CA,NY,MI"
PAY-003,Anthem BCBS,Commercial,Elevance,"CA,NY"
PAY-004,Elevance MA,MA,Elevance,"CA,NY,FL"
PAY-005,Cigna,Commercial,Cigna,"TX,FL"
PAY-006,Humana Medicare,MA,Humana,"TX,FL,MI"
PAY-007,UnitedHealthcare,Commercial,UnitedHealth,"TX,FL,CA,NY,MI"
PAY-008,UnitedHealthcare Medicare,MA,UnitedHealth,"TX,FL,CA,NY,MI"
PAY-009,Kaiser Permanente,Commercial,Kaiser,"CA"
PAY-010,BCBS Michigan,Commercial,BCBSM,"MI"
PAY-011,Centene Medicaid,Medicaid,Centene,"TX,FL,NY,MI"
PAY-012,Molina Medicaid,Medicaid,Molina,"TX,FL,CA,MI"
PAY-013,WellCare,MA,Centene,"TX,FL,NY"
PAY-014,Health Net Medi-Cal,Medicaid,Centene,"CA"
